timestamp,num_correspondences,reg_itr,fitness,inlier_rmse,translation_rmse,rotation_rmse
1667908110_000000000,730,30,0.018445988629185093,2.0486339695195617,75.61747660830355,0.9421355405015134
1667908110_100000000,722,30,0.018369631589660085,2.1518509086189592,6.743454021741688,0.03475757283860493
1667908110_200000000,773,30,0.01962925342813611,2.020167563757994,7.155874485310659,0.03054822035683568
1667908110_300000000,792,28,0.020148057696710676,1.9902021678010207,7.620595143271535,0.03310901659072117
1667908110_400000000,841,30,0.021431119718668772,2.0125006223955646,7.786784007495881,0.034864158249224446
1667908110_500000000,884,25,0.022525162441075296,2.0497859062645802,7.55856391193159,0.03326955094713407
1667908110_600000000,918,30,0.023398669487421305,2.063548966313685,7.35991391256902,0.032345343187965205
1667908110_700000000,979,30,0.02507877142198427,2.1381590822965957,7.444444680998287,0.03398979454310724
1667908110_800000000,1101,24,0.028110399060433527,2.098147011339998,7.587366107587969,0.032843550676393794
1667908110_900000000,1079,27,0.027791371538956857,2.129204096055227,7.40468881198936,0.031829286955963335
1667908111_000000000,1111,28,0.028645833333333332,2.094511268988012,6.9826366981967505,0.02898330203526249
1667908111_100000000,1225,30,0.03154858482062376,2.1018442002394884,7.069287816242687,0.02814305707325613
1667908111_200000000,1244,30,0.03249653875290614,2.1259138998818026,6.919184960712458,0.030482675384109433
1667908111_300000000,1361,30,0.0354824412753865,2.2791951199902627,7.060316131004435,0.03712168493894397
1667908111_400000000,1391,30,0.036213584650230404,2.2140932086180776,6.972825426574985,0.034958018152960235
1667908111_500000000,2454,30,0.06360149284677587,2.107141246123788,1.687660620188365,0.01781524916944171
1667908111_600000000,2574,30,0.06692319692163694,2.133363608480824,1.647353261209214,0.015656108927347447
1667908111_700000000,2740,30,0.07160777754547355,2.165182091840105,1.6456937102279863,0.01600220974804986
1667908111_800000000,2942,30,0.07627294410453178,2.184410862104539,1.66787584459066,0.01735034819588765
1667908111_900000000,3064,25,0.07951625879116601,2.2038852069646717,1.6457764175333867,0.01887783218559164
1667908112_000000000,3323,30,0.08604795691128489,2.2397850822667893,1.7138086090263855,0.0212480758324987
1667908112_100000000,3459,28,0.08999375585388698,2.268530728028208,1.7152111277503923,0.020994361798212468
1667908112_200000000,3750,30,0.09700951986754967,2.2396774114341085,1.6592931701507307,0.021079929093774073
1667908112_300000000,3992,26,0.1041155912576287,2.258206913521417,1.725846686602308,0.02015220489850097
1667908112_400000000,4248,28,0.1106480516774328,2.214778388875365,1.684993826418317,0.01889669664350879
1667908112_500000000,4385,29,0.11423138041524475,2.171234839761714,1.6148055906919843,0.016207957507916884
1667908112_600000000,4622,30,0.12095993300358536,2.189076898601459,1.715337223632257,0.015577346402673154
1667908112_700000000,4805,30,0.12677431270117673,2.2200208090369147,1.7810997020797332,0.013288180801455643
1667908112_800000000,5215,30,0.13776251485933166,2.243712526667943,1.8910081944461827,0.014489091165451431
1667908112_900000000,5426,30,0.14391046042860173,2.1900396959434283,1.8739010971364112,0.01078587213141127
1667908113_000000000,5659,21,0.14902694019434862,2.1903299022397356,1.8264438835182666,0.009111362939228384
1667908113_100000000,5898,30,0.15577212582204264,2.190450113692232,1.8879746873428596,0.0083059862251254
1667908113_200000000,6251,27,0.1641587226555319,2.170869927231311,1.7880730771803528,0.00524133271216692
1667908113_300000000,6781,30,0.16862286765802953,2.225839806792508,1.9119026792402274,0.006366515920005182
1667908113_400000000,7250,30,0.17971345000247882,2.235773749901885,2.0387091080884048,0.005345596382496516
1667908113_500000000,7521,30,0.18682465161338402,2.2231256173081704,1.9851087234134321,0.005772963895079877
1667908113_600000000,8109,30,0.20017773828038213,2.2327188450154725,1.9909038024629429,0.006091161926029718
1667908113_700000000,8386,29,0.20779542582451618,2.208603894524637,1.9711663113175624,0.007523726459310033
1667908113_800000000,8673,26,0.2147313691507799,2.167236367191385,1.8615192993752683,0.009833205735426969
1667908113_900000000,9538,30,0.23526219722756647,2.264300277133644,2.084500670430442,0.008671173956753063
1667908114_000000000,9970,30,0.24726569281515837,2.2770345655936977,2.1596737685857073,0.010681656473813759
1667908114_100000000,10332,30,0.255388570298596,2.240576273876942,2.101146150378369,0.011828510550425898
1667908114_200000000,10594,30,0.2628001587616591,2.2165268825144597,2.0715100712312413,0.013471252031089224
1667908114_300000000,11229,30,0.2771429276599946,2.2033825047655613,2.0577090186159555,0.013682159116388475
1667908114_400000000,11266,24,0.2799632215899207,2.1241728211496516,1.8109663371295586,0.01339332678936626
1667908114_500000000,11734,24,0.2896497247661129,2.0986538995155377,1.7271758789391034,0.01248557907484769
1667908114_600000000,12160,30,0.301976755736565,2.128820266723048,1.8233231328465491,0.012291246339982813
1667908114_700000000,12722,27,0.31484643749845326,2.109352626658481,1.805925262972322,0.013421510485979638
1667908114_800000000,12861,29,0.3207071966485462,2.0969985096133508,1.7450432796255362,0.01464308122094168
1667908114_900000000,13388,30,0.33320889021628214,2.101536290172809,1.792556011777781,0.014823144191600936
1667908115_000000000,14059,30,0.34704154427192613,2.0770746770579565,1.8142949102613808,0.014981982627147613
1667908115_100000000,14143,23,0.35016960063383595,2.042305079846579,1.7392748399579472,0.015834406803790068
1667908115_200000000,14503,23,0.3580457216214882,2.015498559134132,1.617433313561907,0.015268452812422525
1667908115_300000000,14569,26,0.3612447309695016,2.001793282399968,1.5310865610808921,0.014530516376008924
1667908115_400000000,15290,28,0.3801213206046142,2.039232013810053,1.6217453718824002,0.014196568004176015
1667908115_500000000,14488,30,0.38409331919406153,2.0571168030929834,1.8638676276632715,0.015606307311759668
1667908115_600000000,14993,30,0.39627329192546584,2.0226021799926666,1.6664444879342164,0.0130590316757323
1667908115_700000000,15112,30,0.40284701303548104,2.0431596212204104,1.6151324886929797,0.011350336563436047
1667908115_800000000,16382,30,0.436271637816245,2.148405285178511,1.6435744421397014,0.0054309968321613255
1667908115_900000000,16369,28,0.4369144534899239,2.1083314149139007,1.492972786454777,0.003947154397584516
1667908116_000000000,16797,30,0.4485659349463227,2.08487234414319,1.4407824786283836,0.003337389008361673
1667908116_100000000,17074,30,0.4556712036295703,2.041740029756136,1.3403553050923955,0.0027552167447171655
1667908116_200000000,17235,30,0.4622626327647248,2.027304230156131,1.2947999042088247,0.0031000670972157747
1667908116_300000000,17364,30,0.4646880937725801,1.9378656449837093,1.4704673571304219,0.0071788707511710684
1667908116_400000000,17576,30,0.4727145585110675,1.9172081136345003,1.4848502162733301,0.009437056846811419
1667908116_500000000,18140,30,0.48600133958472874,1.9059045537026413,1.4131444275518787,0.009692721632390105
1667908116_600000000,18282,30,0.4919938642051724,1.8745284897325907,1.319989783961675,0.010136454943714533
1667908116_700000000,18750,30,0.5016722408026756,1.8406216286976638,1.2801017667916161,0.010108479223641406
1667908116_800000000,18495,30,0.5010429929835017,1.8075612880348833,1.1113356819278144,0.009475680715393515
1667908116_900000000,18529,27,0.5045886549930557,1.787160567011264,1.0246946123459642,0.009064671717099342
1667908117_000000000,19661,30,0.5327029370326216,1.862063313055466,1.2302490058270277,0.007109786029634573
1667908117_100000000,20256,30,0.5515889224736541,1.8975201001742064,1.3934212949919387,0.006234358163190277
1667908117_200000000,21534,30,0.5857041832127509,1.9664892150031772,1.6495297478152635,0.005837529469899072
1667908117_300000000,21755,30,0.5924241599041447,1.9232978554706819,1.5776366773204193,0.0053906196947641856
1667908117_400000000,21492,30,0.5916097775820304,1.8640939708367454,1.3504223193030174,0.006061324938310773
1667908117_500000000,21745,25,0.5952967586508979,1.802513173673874,1.1371144613895456,0.0074967534848832725
1667908117_600000000,21648,30,0.5986560106191754,1.8023141447422055,1.0453096190404954,0.0063277599266797525
1667908117_700000000,22089,27,0.6059749807966641,1.794265942436272,0.914239968889776,0.006511852219894986
1667908117_800000000,21811,22,0.6059116037447565,1.7878664279842384,0.7193570361278082,0.005945013777619986
1667908117_900000000,21889,22,0.6087718322394037,1.8095559635178253,0.5939137653692147,0.005909768564134508
1667908118_000000000,21512,30,0.60015623256333,1.7920262343578928,0.7022768531532035,0.006186461218165571
1667908118_100000000,21550,30,0.598129284742846,1.7707090442221913,0.7598712158958879,0.006865177313992859
1667908118_200000000,21270,29,0.5963830085518015,1.7323049055699253,0.7677324344842563,0.007475783142366004
1667908118_300000000,21516,30,0.6001171450087859,1.7281400535678169,0.7207583194053734,0.0065645401037386555
1667908118_400000000,21528,30,0.6026200873362445,1.7319141023466325,0.8022217535896233,0.006357702091559555
1667908118_500000000,23809,30,0.6622993685498901,1.9342423407092648,1.5939358657152565,0.0062418441376074826
1667908118_600000000,24472,30,0.684512321333669,1.9407974747365495,1.7627434902693184,0.0056064151220730765
1667908118_700000000,24641,30,0.6874511773239593,1.9025633041347982,1.602462043300241,0.0051138655272414445
1667908118_800000000,24636,30,0.6940304814491366,1.8688097818430907,1.521955914780974,0.004591029500750744
1667908118_900000000,25002,30,0.7002969021343343,1.8327056295849333,1.3778279355061576,0.004679975107921913
1667908119_000000000,25113,30,0.7061751307575502,1.8118550663924406,1.2798003525434323,0.005592670895997884
1667908119_100000000,25407,30,0.7108244971043282,1.7785124440240816,1.1277928213962067,0.006976787048681399
1667908119_200000000,25353,30,0.710605975671282,1.7491234923340961,0.8923105385702989,0.00786820521561205
1667908119_300000000,25365,23,0.7102455688404783,1.730909028463297,0.7500816631445828,0.007339863565159027
1667908119_400000000,25636,22,0.7137964638730335,1.7182605896350864,0.6807012571545619,0.006808384528979568
1667908119_500000000,25642,20,0.7198360563696592,1.7326181952788373,0.6398147286253381,0.006557940301604016
1667908119_600000000,26054,27,0.7246280072312613,1.7630694787609977,0.6824062363733838,0.006122686405236435
1667908119_700000000,26971,30,0.7522242365081578,1.818904588189352,1.4939818205333955,0.005353499332932746
1667908119_800000000,27290,30,0.7560603961767558,1.816673760147549,1.6033301804872782,0.005388552424123542
1667908119_900000000,27427,30,0.7585319984512418,1.8142280807474402,1.611318878368866,0.00549267707994757
1667908120_000000000,27587,30,0.7601609214405776,1.8268664787231466,1.6321161996376436,0.007193533973868213
1667908120_100000000,27596,30,0.7647710896796364,1.853581934902232,1.6571585463305198,0.007880277391810126
1667908120_200000000,27864,30,0.763836727980482,1.8527453958855342,1.4434962921619479,0.005492730686188787
1667908120_300000000,28022,30,0.7678101709776414,1.8483835214074649,1.3730074293395713,0.005836571186708518
1667908120_400000000,28012,30,0.771808012343638,1.8555679274075174,1.3366085785512012,0.005871118051452521
1667908120_500000000,28522,30,0.7777595986038395,1.875174559492119,1.3545985639554978,0.006166938983763064
1667908120_600000000,28424,30,0.7818887024454653,1.8994491842785808,1.4640406992005535,0.006341142482009018
1667908120_700000000,28608,30,0.787686885652138,1.9274105119162295,1.5435367738344532,0.00576871929529231
1667908120_800000000,28726,30,0.796859829676274,1.947343359643493,1.679779454396737,0.006507637173109752
1667908120_900000000,28854,30,0.8046066757759126,1.9707177689951256,1.775447129628207,0.008446543402685408
1667908121_000000000,28569,30,0.7912973631730557,1.924794528474826,1.6476394601336481,0.010837875534839529
1667908121_100000000,27845,30,0.7775760960625524,1.8841585955454145,1.4470031767782146,0.010755976084789011
1667908121_200000000,28266,30,0.7865431171216295,1.8904699109868772,1.6236067132548029,0.0117430717534343
1667908121_300000000,28431,30,0.8015958046689974,1.8655497745029392,2.1140458443492576,0.013195564043586357
1667908121_400000000,28848,30,0.809245960502693,1.812203644577764,2.436743509062128,0.01233756534493064
1667908121_500000000,28018,30,0.801590707521529,1.7826349613499284,2.4258056474269063,0.010123243232524079
1667908121_600000000,27610,30,0.7835958563927913,1.786536886200385,1.8631820072050158,0.008055485935827536
1667908121_700000000,25092,23,0.7138955274837828,1.6607563151426363,0.6299908780970662,0.0053266574672909545
1667908121_800000000,24865,26,0.7126275363980282,1.6485147606893558,0.643606758604149,0.006012673543808752
1667908121_900000000,25186,19,0.7201555485660367,1.6616898833704268,0.5360655862523822,0.0046054305790915705
1667908122_000000000,25146,23,0.7230017251293847,1.6874195189188976,0.4961295268955329,0.004111962068494145
1667908122_100000000,25274,30,0.7258680605416583,1.6926578674006196,0.5952476663747437,0.004113006845116951
1667908122_200000000,25336,30,0.7274815516696815,1.687317421917941,0.6200842364323353,0.0045058448563349
1667908122_300000000,25055,30,0.7283430232558139,1.6880438643815834,0.5445117272326758,0.0033228642058428432
1667908122_400000000,25529,30,0.7336552001609334,1.6913847433867923,0.5635626533432584,0.001901091034761431
1667908122_500000000,25628,29,0.7356546200878377,1.685248027918522,0.6666032928697653,0.0024720934224102906
1667908122_600000000,25641,29,0.7415194193007316,1.6824782474443267,0.6877473889411402,0.0032382892799273748
1667908122_700000000,25851,30,0.7465561556011205,1.6808980510544018,0.7482975227657966,0.003410357130373078
1667908122_800000000,25977,30,0.7492212736502076,1.657241015458058,0.8005707064593185,0.003091453040545134
1667908122_900000000,26105,30,0.7526742207998155,1.6504814416050804,0.781127510322631,0.0030261981382490332
1667908123_000000000,26343,30,0.755051735504027,1.6558926016951097,0.8021514881759918,0.0028344748130882716
1667908123_100000000,26503,30,0.762040311682337,1.673732368657052,0.7195229432876502,0.0028286634702069805
1667908123_200000000,26652,30,0.7633176767098179,1.6810268463872748,0.675991707557857,0.0024582906024211925
1667908123_300000000,26425,30,0.7638387050151756,1.6644814514518256,0.6130325246302137,0.0025451961301169905
1667908123_400000000,26531,30,0.763965676111495,1.6736002672847283,0.575556448287253,0.0022654626785954144
1667908123_500000000,26458,30,0.7670097115523989,1.6769042950716107,0.4872493459785154,0.0014799463019236083
1667908123_600000000,26427,30,0.7673790580173064,1.698393492375757,0.44016749682791384,0.0013607914457041104
1667908123_700000000,26396,30,0.7652345335420653,1.6890731802360486,0.5866456089413492,0.0029889391445590465
1667908123_800000000,26126,30,0.7636501812229627,1.6988336158747201,0.5570988387533995,0.002676125548612089
1667908123_900000000,26239,30,0.762097008422887,1.7063751385791306,0.5094578845806077,0.004334753655908256
1667908124_000000000,26056,30,0.7616709053173142,1.7060424890602253,0.4724236992928831,0.004622108335339245
1667908124_100000000,26205,30,0.7627710668025033,1.70835208556629,0.40055228962784517,0.004187571250487898
1667908124_200000000,26073,30,0.7645144264602393,1.6670686140748758,0.7885718205906806,0.0035073497359684107
1667908124_300000000,26281,30,0.7658526634805921,1.6352720361524549,1.178091460769989,0.002130190023110596
1667908124_400000000,26226,30,0.7664163184195915,1.638136589287528,1.2515019508759857,0.002476855540476249
1667908124_500000000,26155,30,0.7653927191852979,1.653754136189007,1.2503655338078263,0.002975602626249245
1667908124_600000000,25844,30,0.7643440198746008,1.657775652310675,1.1939959546319279,0.002850439857688456
1667908124_700000000,26069,30,0.765766824310431,1.6577804430853968,1.2412311794174327,0.003814064892595466
1667908124_800000000,26018,30,0.7670174817959377,1.6541688454034615,1.3126767669122013,0.003964220319893311
1667908124_900000000,26168,30,0.7680432038977429,1.6505474566040437,1.3248174219140554,0.0045952858228209955
1667908125_000000000,26265,30,0.7670180766872061,1.6333345081089319,1.3086738073081985,0.003918453975115933
1667908125_100000000,26087,30,0.7661155325834778,1.6162734659238074,1.245371448770617,0.0028228505138277954
1667908125_200000000,26294,30,0.766075226524488,1.6244407264616256,1.1716384594745906,0.0034111214400399078
1667908125_300000000,26053,30,0.7646230152906994,1.6242042964938685,1.160346425920811,0.0023205899569044386
1667908125_400000000,26323,30,0.7660274132060647,1.6341064775908065,1.1620192022321478,0.002627401420095621
1667908125_500000000,26274,30,0.7702952299979478,1.6381204402538512,1.2436020467906999,0.0025847418258641273
1667908125_600000000,26381,30,0.7706081673190396,1.6362021886670797,1.2599656955083982,0.0024659812830586827
1667908125_700000000,26060,30,0.7697988361445072,1.6350392226662607,1.2823750332413686,0.0025099117074033218
1667908125_800000000,26172,30,0.7680478929451814,1.636082438074151,1.3041468871028665,0.002693299864547399
1667908125_900000000,26138,30,0.7696702002355713,1.6362853688081562,1.3152774559649643,0.0025923226340325723
1667908126_000000000,26163,30,0.7680993482473137,1.6181865002054676,1.3284502187898946,0.002767274668652949
1667908126_100000000,26052,30,0.7697671670015365,1.6147881347290125,1.3323534134725343,0.0024324339187554774
1667908126_200000000,26143,30,0.7685952842947021,1.622028727842114,1.333747941810641,0.0030084451613086455
1667908126_300000000,25976,30,0.7643147178249867,1.6060245748191817,1.2820486042156796,0.002656745052809379
1667908126_400000000,25823,30,0.764559585492228,1.604649054179634,1.2710332438067353,0.0025000558190072172
1667908126_500000000,25901,30,0.7648761184773942,1.5997448843193613,1.2263807039040895,0.0028921925907908538
1667908126_600000000,26051,30,0.7664313033245073,1.6104736008514695,1.2250918868535459,0.0032349950549892385
1667908126_700000000,25878,30,0.7653948535936114,1.6071778550788467,1.1945752676241177,0.003407668497493012
1667908126_800000000,25885,30,0.7618613138686131,1.6018464462914233,1.170883442101496,0.0032165289410046416
1667908126_900000000,25812,30,0.7639172511764184,1.6073799165983085,1.177515656617333,0.0033737813708841873
1667908127_000000000,25855,30,0.7610007358351729,1.6026053696158435,1.1649768256795245,0.0034201231212139934
1667908127_100000000,25768,30,0.7622090099683497,1.5985785255783576,1.1652089186309913,0.0031865427118320396
1667908127_200000000,25889,30,0.7611277709178573,1.6049779569027525,1.1673820782489195,0.003356045489293858
1667908127_300000000,25794,30,0.761289180095626,1.6104533757132424,1.1882079257736622,0.003573288030433072
1667908127_400000000,25863,30,0.7599612129760226,1.6091772629258965,1.1873945843359999,0.0037532221142309564
1667908127_500000000,25788,30,0.7603715170278638,1.6136327943101614,1.2016289616582585,0.00423266178500911
1667908127_600000000,25849,30,0.7595498354489892,1.6081925430726953,1.1949324347924424,0.004029346868805927
1667908127_700000000,25788,30,0.7584928968499074,1.6091197654244227,1.2150478104510316,0.004099087605944919
1667908127_800000000,25751,30,0.7612107954713412,1.60468645885647,1.217246578058106,0.004039107461835282
1667908127_900000000,25874,30,0.7602397602397603,1.602622744268034,1.2294211055814892,0.004554112563477323
1667908128_000000000,25760,30,0.761296805272335,1.598992397139398,1.2362978070928468,0.004721952249400322
1667908128_100000000,25961,30,0.7606950304735115,1.5994298724927465,1.2456705754752728,0.0044029240985402176
1667908128_200000000,25863,30,0.7600505466086752,1.5988610535719663,1.2302039085371796,0.004270860303843658
1667908128_300000000,25768,30,0.7616232672243076,1.599710344915186,1.2338326155877564,0.004495006603637237
1667908128_400000000,25886,30,0.7607264605618902,1.5936213151719367,1.225770587278814,0.004361817749462167
1667908128_500000000,25790,30,0.7613733652171346,1.593811874082386,1.237313765818795,0.004113116208975953
1667908128_600000000,25877,30,0.7599483128248803,1.594304725187371,1.2189361499702884,0.004251297636908469
1667908128_700000000,25774,30,0.7609459419562458,1.5929515404056023,1.2330968643427902,0.004058567347199481
1667908128_800000000,25891,30,0.759712441314554,1.5970438619662566,1.2274928841815633,0.0041411834732861365
1667908128_900000000,25820,30,0.7585193889541716,1.5931096433476608,1.2108487397900594,0.0041316047782763874
1667908129_000000000,25693,30,0.7607331083081661,1.5937021553657627,1.2235730827255793,0.004276099544369859
1667908129_100000000,25906,30,0.760063372843563,1.5980377443680298,1.230339918796069,0.004640023270560816
1667908129_200000000,25709,30,0.7611392367587412,1.5929565704442235,1.224394226775576,0.004274971135847499
1667908129_300000000,25842,30,0.761469782243569,1.5995048892817596,1.2505522779531664,0.0047070349136304444
