timestamp,num_correspondences,reg_itr,fitness,inlier_rmse,translation_rmse,rotation_rmse
1667908110_000000000,3629,30,0.0916993051168667,3.1088360460285958,75.02477527295935,0.9424096004269308
1667908110_100000000,2162,30,0.055007123956849174,3.208382403412844,7.199219693574363,0.03272711213566524
1667908110_200000000,2467,30,0.06264601320467242,3.211482852752555,7.948836942393789,0.02917038576395557
1667908110_300000000,4346,30,0.11055992266402097,3.0669694728179056,6.992892147967013,0.046487213615622705
1667908110_400000000,4638,30,0.11818969471484633,3.046175406944498,6.706451414162618,0.04597110371601905
1667908110_500000000,2758,30,0.07027646833991591,2.8906394350082603,0.9355560391736225,0.020667480843105344
1667908110_600000000,3194,30,0.0814110570183264,2.7057246267240402,7.585797057124407,0.053138887120201435
1667908110_700000000,5638,30,0.14442708199912904,3.073352077984462,6.226805786632166,0.07591117820391577
1667908110_800000000,5778,30,0.14752214874767022,2.9316044230199862,6.258901941317694,0.06630182550209343
1667908110_900000000,5854,30,0.15077913715389568,2.7279073429249516,6.220946122976578,0.07026235859979466
1667908111_000000000,6000,30,0.1547029702970297,2.7446402004622312,6.013686816985285,0.059978633688277196
1667908111_100000000,3314,30,0.0853485796698344,2.9744313870835146,2.1420621563229814,0.019717035634026606
1667908111_200000000,4797,30,0.12531020610746846,2.600502957917607,5.9953215564260995,0.032476635953517734
1667908111_300000000,5049,30,0.13163177516489818,2.694629484071851,6.3909802094338675,0.03392167946873433
1667908111_400000000,4148,30,0.10798989872692719,2.6273782473077025,1.6135010147741682,0.021941468696235377
1667908111_500000000,4476,29,0.11600663487455941,2.985563232938618,2.0560309838852757,0.02252603742432665
1667908111_600000000,5180,30,0.13467838385939368,2.8412250802530252,1.879177497220327,0.023762017649609085
1667908111_700000000,5298,30,0.13845912607150324,2.7971102562970875,1.8467331089744525,0.02263539442661862
1667908111_800000000,4887,30,0.12669812299077052,2.720493080547641,1.7414400145203126,0.02299125884262713
1667908111_900000000,5567,30,0.14447356811045078,2.796223201372787,1.893133175085215,0.02429492705548556
1667908112_000000000,5538,30,0.14340462996530115,3.037249678612579,2.2455222634950123,0.024495540248369814
1667908112_100000000,6246,30,0.16250390259132064,2.8571371041380056,1.8320681954080495,0.020173584234553187
1667908112_200000000,6396,25,0.1654594370860927,2.8302876285978162,1.810009671407324,0.023093218999117298
1667908112_300000000,6676,24,0.17411715612122478,2.774601517336659,1.7979889161478475,0.023083186154662035
1667908112_400000000,7279,30,0.1895967909981246,2.84761727083844,2.012771747571287,0.021145571718957857
1667908112_500000000,7292,30,0.1899601427566624,2.8985130128743215,2.082875507846573,0.017878196474407675
